x_0,x_1,y
427,361,1
217,405,0
130,325,0
324,499,1
476,126,1
18,409,0
167,383,0
358,139,1
468,374,1
343,220,1
337,203,1
108,338,0
382,434,1
325,471,1
277,360,1
196,264,0
158,137,0
374,229,1
331,360,1
281,326,1
205,247,0
240,23,0
180,172,0
381,4,1
424,307,1
413,40,1
330,31,1
257,446,0
286,309,1
496,423,1
286,313,1
419,217,1
247,106,0
69,192,0
489,43,1
321,335,1
67,198,0
331,160,1
469,357,1
204,86,0
82,82,0
237,398,0
391,226,1
490,204,1
258,158,0
239,391,0
251,158,0
306,17,1
113,277,0
46,207,0
275,331,1
403,26,1
459,242,1
214,450,0
356,176,1
115,17,0
460,294,1
105,474,0
451,469,1
282,429,1
277,137,1
329,490,1
339,284,1
371,83,1
101,308,0
168,90,0
80,161,0
395,7,1
131,46,0
135,36,0
20,26,0
499,199,1
410,194,1
418,185,1
71,395,0
60,40,0
442,29,1
429,410,1
348,54,1
323,65,1
159,6,0
371,37,1
464,350,1
135,190,0
66,166,0
154,280,0
125,383,0
329,315,1
431,485,1
363,92,1
143,79,0
394,388,1
479,60,1
48,487,0
177,37,0
473,244,1
90,38,0
11,214,0
225,349,0
272,442,1
387,407,1
218,454,0
487,27,1
131,455,0
457,325,1
320,51,1
387,66,1
228,361,0
9,117,0
499,498,1
347,225,1
487,406,1
92,439,0
367,318,1
442,281,1
238,141,0
212,40,0
196,392,0
382,495,1
325,58,1
434,457,1
13,136,0
410,292,1
55,133,0
188,47,0
180,300,0
152,211,0
318,13,1
213,9,0
408,119,1
87,332,0
345,422,1
158,65,0
397,62,1
483,192,1
79,306,0
299,74,1
307,303,1
194,39,0
194,98,0
127,434,0
5,301,0
289,220,1
439,418,1
231,351,0
180,269,0
389,69,1
129,9,0
320,492,1
140,308,0
493,314,1
380,17,1
378,303,1
289,54,1
116,468,0
462,142,1
466,68,1
116,335,0
170,283,0
136,431,0
276,236,1
44,19,0
396,264,1
81,193,0
302,324,1
113,236,0
301,222,1
436,282,1
370,488,1
345,274,1
295,340,1
385,51,1
401,17,1
133,246,0
173,403,0
68,357,0
3,245,0
19,250,0
333,188,1
60,96,0
446,346,1
244,2,0
334,430,1
237,3,0
465,118,1
363,255,1
66,403,0
420,228,1
230,89,0
338,444,1
396,368,1
34,31,0
470,120,1
312,89,1
303,360,1
244,144,0
246,115,0
447,266,1
218,96,0
346,66,1
264,467,0
425,49,1
323,226,1
175,342,0
17,158,0
269,4,1
39,450,0
60,151,0
381,453,1
332,84,1
459,319,1
1,448,0
498,71,1
424,399,1
262,370,0
77,152,0
22,164,0
198,60,0
16,87,0
188,234,0
130,86,0
346,98,1
364,425,1
324,74,1
246,337,0
480,95,1
392,458,1
149,248,0
398,294,1
433,73,1
188,289,0
460,6,1
328,204,1
248,106,0
74,361,0
445,298,1
286,344,1
365,63,1
208,311,0
411,298,1
438,310,1
161,249,0
486,216,1
63,180,0
150,459,0
71,350,0
498,174,1
479,403,1
391,236,1
427,158,1
453,219,1
258,149,0
157,167,0
393,208,1
474,394,1
294,441,1
459,481,1
474,4,1
361,319,1
186,321,0
337,350,1
470,182,1
495,297,1
379,30,1
170,168,0
92,235,0
460,29,1
74,290,0
44,176,0
87,163,0
256,455,0
343,80,1
322,267,1
84,344,0
39,432,0
478,385,1
156,400,0
207,312,0
383,281,1
417,102,1
326,293,1
307,245,1
394,477,1
98,255,0
289,205,1
335,138,1
277,475,1
375,275,1
151,412,0
366,62,1
137,211,0
1,111,0
423,418,1
65,318,0
142,407,0
287,104,1
199,102,0
98,187,0
370,116,1
169,162,0
211,102,0
279,257,1
18,416,0
27,55,0
13,313,0
294,145,1
3,348,0
380,218,1
208,143,0
466,423,1
318,452,1
10,413,0
480,24,1
85,67,0
476,462,1
156,311,0
64,58,0
258,197,0
316,67,1
247,241,0
166,229,0
459,50,1
340,350,1
473,435,1
371,277,1
263,426,0
320,290,1
434,258,1
210,89,0
152,420,0
294,483,1
376,469,1
454,406,1
491,380,1
353,125,1
150,186,0
380,467,1
79,472,0
258,487,0
390,279,1
131,433,0
477,450,1
131,175,0
398,385,1
182,138,0
489,296,1
119,197,0
385,357,1
157,498,0
397,135,1
441,263,1
426,71,1
174,43,0
267,218,1
308,429,1
418,351,1
19,285,0
435,88,1
254,107,0
329,137,1
11,403,0
179,292,0
180,69,0
398,331,1
284,161,1
91,91,0
121,250,0
404,260,1
194,423,0
196,496,0
322,477,1
126,463,0
446,489,1
447,344,1
334,333,1
420,245,1
265,279,0
391,398,1
73,135,0
426,263,1
50,303,0
140,296,0
216,99,0
312,390,1
80,417,0
364,281,1
435,72,1
461,83,1
92,148,0
47,38,0
419,433,1
373,198,1
31,84,0
226,424,0
474,195,1
256,423,0
167,465,0
367,462,1
370,68,1
489,284,1
115,231,0
318,495,1
475,115,1
382,394,1
373,81,1
302,376,1
339,237,1
69,237,0
14,308,0
216,440,0
84,10,0
266,329,0
359,162,1
387,448,1
82,396,0
78,128,0
336,234,1
442,114,1
331,415,1
180,259,0
31,347,0
314,372,1
427,248,1
454,331,1
399,411,1
147,231,0
341,23,1
471,28,1
493,429,1
28,98,0
460,346,1
261,64,0
156,129,0
355,190,1
30,106,0
173,335,0
133,256,0
314,499,1
246,18,0
316,216,1
204,271,0
183,442,0
383,144,1
270,307,0
107,424,0
196,61,0
454,277,1
459,418,1
49,338,0
18,330,0
409,334,1
407,81,1
474,186,1
23,208,0
329,260,1
181,291,0
30,212,0
293,317,1
310,399,1
368,336,1
350,240,1
340,484,1
155,463,0
367,101,1
492,498,1
4,194,0
408,358,1
375,466,1
496,224,1
139,10,0
223,162,0
323,271,1
438,121,1
147,154,0
420,125,1
399,23,1
233,433,0
40,308,0
16,185,0
31,482,0
87,402,0
461,285,1
374,328,1
190,364,0
93,307,0
22,296,0
389,312,1
203,5,0
107,427,0
455,451,1
138,241,0
16,397,0
223,444,0
213,251,0
354,323,1
146,322,0
462,441,1
255,261,0
351,432,1
152,17,0
238,229,0
208,492,0
191,252,0
126,486,0
258,109,0
404,211,1
147,377,0
270,457,1
374,311,1
308,161,1
174,267,0
409,318,1
162,265,0
387,470,1
350,20,1
322,213,1
445,72,1
427,8,1
369,265,1
117,184,0
494,322,1
55,202,0
107,308,0
472,65,1
71,124,0
127,172,0
459,231,1
433,10,1
446,252,1
389,211,1
34,445,0
176,425,0
94,25,0
278,11,1
120,331,0
296,263,1
266,312,0
154,283,0
345,425,1
132,44,0
309,325,1
271,311,0
221,406,0
295,285,1
281,145,1
381,75,1
481,494,1
499,108,1
37,306,0
456,233,1
270,16,1
225,132,0
87,151,0
258,446,0
174,211,0
480,23,1
465,460,1
291,348,1
79,326,0
158,439,0
452,246,1
4,497,0
29,429,0
437,109,1
429,402,1
260,16,0
258,31,0
186,458,0
174,93,0
234,215,0
370,411,1
301,96,1
30,385,0
260,45,0
401,472,1
120,229,0
211,6,0
215,168,0
305,438,1
227,289,0
238,459,0
493,123,1
260,222,0
175,487,0
296,74,1
151,368,0
85,97,0
490,441,1
121,45,0
309,431,1
163,10,0
115,335,0
412,215,1
394,332,1
293,478,1
166,389,0
350,81,1
236,51,0
413,403,1
455,122,1
37,282,0
196,165,0
19,274,0
13,445,0
221,385,0
398,217,1
494,186,1
225,227,0
381,249,1
72,435,0
357,333,1
481,260,1
34,133,0
200,93,0
182,342,0
128,344,0
227,65,0
230,231,0
362,144,1
413,157,1
78,413,0
77,246,0
430,415,1
0,411,0
437,14,1
140,185,0
40,24,0
129,371,0
251,86,0
458,169,1
177,384,0
206,434,0
274,86,1
61,426,0
3,209,0
485,342,1
413,244,1
399,189,1
50,419,0
372,51,1
406,343,1
494,61,1
128,170,0
27,219,0
452,17,1
262,12,0
25,3,0
181,400,0
257,337,0
142,45,0
363,97,1
392,471,1
50,119,0
298,109,1
400,351,1
161,201,0
188,179,0
74,372,0
15,321,0
183,275,0
183,50,0
104,423,0
90,363,0
94,411,0
182,488,0
335,307,1
438,451,1
499,332,1
154,122,0
314,381,1
203,416,0
169,51,0
301,209,1
392,484,1
492,1,1
475,188,1
379,88,1
143,156,0
336,498,1
97,343,0
275,432,1
256,378,0
334,327,1
432,447,1
220,96,0
325,234,1
44,210,0
291,252,1
227,193,0
40,302,0
468,467,1
43,24,0
440,281,1
309,455,1
333,250,1
146,293,0
172,466,0
264,203,1
376,464,1
352,333,1
392,141,1
250,76,0
466,59,1
361,330,1
128,29,0
174,312,0
292,265,1
428,220,1
191,363,0
266,419,0
220,401,0
22,425,0
52,430,0
299,45,1
229,292,0
207,190,0
76,493,0
207,184,0
475,78,1
380,324,1
111,65,0
46,369,0
83,277,0
370,238,1
164,24,0
69,101,0
212,407,0
367,183,1
53,428,0
84,57,0
141,141,0
163,241,0
457,124,1
106,265,0
1,244,0
88,12,0
430,96,1
77,170,0
334,120,1
78,103,0
466,86,1
334,129,1
353,403,1
92,94,0
292,224,1
351,315,1
190,214,0
343,153,1
316,315,1
129,152,0
464,247,1
242,55,0
474,164,1
330,142,1
174,401,0
339,349,1
292,361,1
168,213,0
454,252,1
461,43,1
379,222,1
253,368,0
350,146,1
208,267,0
407,490,1
122,31,0
194,263,0
266,22,0
426,420,1
278,22,1
485,145,1
266,130,1
318,192,1
138,484,0
86,33,0
423,383,1
50,204,0
379,359,1
422,212,1
135,215,0
488,157,1
316,123,1
225,26,0
211,297,0
388,32,1
349,235,1
413,311,1
434,49,1
388,340,1
459,452,1
354,122,1
173,454,0
0,162,0
381,39,1
271,190,1
25,132,0
427,18,1
96,373,0
253,128,0
357,202,1
44,454,0
207,437,0
48,75,0
493,110,1
223,403,0
158,334,0
50,320,0
9,109,0
292,176,1
429,292,1
493,16,1
82,175,0
342,364,1
496,334,1
460,297,1
276,439,1
268,224,1
363,274,1
199,476,0
154,276,0
90,292,0
384,62,1
337,421,1
207,399,0
294,363,1
178,478,0
144,331,0
331,496,1
215,411,0
286,285,1
299,130,1
371,156,1
299,467,1
257,108,0
485,495,1
258,106,0
469,205,1
385,469,1
124,272,0
140,235,0
492,489,1
463,186,1
235,356,0
261,155,0
153,479,0
316,284,1
463,308,1
397,482,1
320,432,1
362,143,1
322,268,1
214,498,0
7,264,0
236,187,0
108,55,0
55,238,0
