x1,x2,y
102.0000,145.0000,1
331.0000,45.0000,0
181.0000,144.0000,1
10.0000,331.0000,0
262.0000,189.0000,1
107.0000,99.0000,1
140.0000,161.0000,1
67.0000,106.0000,1
379.0000,111.0000,0
266.0000,248.0000,1
225.0000,457.0000,1
120.0000,159.0000,1
50.0000,142.0000,1
224.0000,140.0000,1
447.0000,301.0000,1
145.0000,194.0000,1
361.0000,146.0000,0
19.0000,252.0000,0
465.0000,302.0000,0
316.0000,223.0000,0
485.0000,63.0000,0
376.0000,229.0000,1
302.0000,49.0000,0
159.0000,218.0000,1
75.0000,435.0000,0
399.0000,153.0000,1
438.0000,2.0000,0
331.0000,117.0000,1
368.0000,167.0000,0
76.0000,356.0000,0
202.0000,247.0000,1
24.0000,396.0000,0
35.0000,184.0000,0
160.0000,413.0000,0
474.0000,170.0000,0
40.0000,312.0000,0
394.0000,102.0000,1
110.0000,165.0000,1
405.0000,167.0000,1
271.0000,431.0000,1
242.0000,121.0000,1
171.0000,284.0000,1
190.0000,151.0000,1
209.0000,28.0000,0
418.0000,233.0000,1
192.0000,419.0000,0
271.0000,409.0000,1
8.0000,428.0000,0
400.0000,59.0000,1
298.0000,204.0000,1
349.0000,493.0000,1
66.0000,337.0000,0
449.0000,234.0000,1
92.0000,53.0000,1
88.0000,409.0000,0
307.0000,322.0000,1
308.0000,397.0000,1
422.0000,219.0000,1
430.0000,70.0000,1
327.0000,454.0000,1
84.0000,179.0000,1
329.0000,61.0000,1
237.0000,136.0000,1
356.0000,438.0000,0
267.0000,446.0000,1
128.0000,8.0000,0
188.0000,453.0000,1
139.0000,239.0000,1
465.0000,37.0000,0
275.0000,369.0000,1
110.0000,362.0000,1
277.0000,24.0000,0
249.0000,130.0000,1
174.0000,108.0000,1
366.0000,330.0000,0
5.0000,226.0000,0
94.0000,171.0000,1
430.0000,171.0000,0
67.0000,223.0000,1
143.0000,60.0000,0
286.0000,446.0000,1
103.0000,66.0000,0
224.0000,193.0000,1
440.0000,389.0000,1
169.0000,66.0000,0
480.0000,121.0000,0
385.0000,91.0000,1
420.0000,101.0000,1
52.0000,96.0000,0
386.0000,44.0000,0
298.0000,405.0000,1
499.0000,230.0000,0
159.0000,149.0000,1
142.0000,109.0000,1
73.0000,83.0000,1
160.0000,427.0000,0
293.0000,158.0000,1
153.0000,218.0000,1
220.0000,90.0000,0
9.0000,31.0000,0
196.0000,473.0000,0
280.0000,163.0000,1
491.0000,446.0000,0
223.0000,27.0000,0
400.0000,9.0000,0
314.0000,285.0000,1
411.0000,62.0000,1
155.0000,68.0000,0
5.0000,177.0000,1
234.0000,274.0000,1
174.0000,496.0000,0
119.0000,303.0000,1
414.0000,375.0000,0
390.0000,462.0000,0
160.0000,140.0000,1
185.0000,353.0000,1
210.0000,174.0000,1
454.0000,164.0000,0
340.0000,338.0000,1
293.0000,229.0000,1
266.0000,156.0000,0
71.0000,155.0000,1
490.0000,391.0000,0
416.0000,389.0000,1
310.0000,295.0000,0
203.0000,416.0000,0
348.0000,114.0000,1
41.0000,165.0000,1
11.0000,287.0000,0
266.0000,225.0000,1
59.0000,487.0000,0
221.0000,231.0000,1
103.0000,76.0000,0
386.0000,462.0000,0
12.0000,490.0000,0
201.0000,162.0000,1
203.0000,127.0000,1
261.0000,181.0000,0
256.0000,325.0000,1
436.0000,193.0000,0
409.0000,234.0000,1
123.0000,463.0000,0
336.0000,344.0000,1
478.0000,335.0000,0
52.0000,228.0000,1
286.0000,148.0000,1
242.0000,168.0000,1
128.0000,293.0000,1
425.0000,280.0000,0
399.0000,333.0000,0
166.0000,323.0000,1
370.0000,238.0000,1
89.0000,389.0000,0
306.0000,85.0000,0
320.0000,125.0000,1
289.0000,155.0000,1
449.0000,350.0000,1
128.0000,264.0000,1
255.0000,450.0000,1
308.0000,171.0000,1
340.0000,214.0000,0
50.0000,249.0000,0
319.0000,275.0000,1
240.0000,440.0000,1
68.0000,217.0000,1
105.0000,160.0000,1
212.0000,385.0000,0
249.0000,324.0000,1
286.0000,284.0000,1
489.0000,395.0000,0
40.0000,221.0000,0
433.0000,2.0000,0
459.0000,436.0000,0
421.0000,246.0000,1
30.0000,109.0000,0
194.0000,272.0000,1
370.0000,61.0000,1
242.0000,285.0000,1
436.0000,111.0000,1
62.0000,158.0000,1
429.0000,149.0000,1
478.0000,431.0000,0
270.0000,40.0000,1
104.0000,363.0000,0
154.0000,169.0000,1
231.0000,100.0000,1
420.0000,408.0000,0
180.0000,34.0000,0
37.0000,364.0000,0
18.0000,13.0000,0
219.0000,304.0000,1
482.0000,136.0000,0
0.0000,258.0000,0
112.0000,233.0000,1
351.0000,37.0000,1
418.0000,173.0000,1
350.0000,119.0000,1
221.0000,190.0000,1
362.0000,37.0000,0
349.0000,336.0000,1
391.0000,400.0000,1
145.0000,133.0000,0
364.0000,114.0000,1
485.0000,257.0000,0
478.0000,14.0000,0
103.0000,242.0000,1
286.0000,92.0000,1
41.0000,173.0000,1
347.0000,130.0000,0
176.0000,290.0000,1
217.0000,196.0000,1
457.0000,47.0000,1
235.0000,490.0000,0
195.0000,352.0000,1
173.0000,127.0000,0
141.0000,84.0000,0
160.0000,476.0000,0
342.0000,327.0000,1
179.0000,434.0000,0
46.0000,412.0000,0
362.0000,242.0000,1
146.0000,137.0000,0
176.0000,357.0000,0
33.0000,171.0000,1
353.0000,105.0000,1
440.0000,190.0000,0
81.0000,232.0000,0
130.0000,16.0000,1
295.0000,307.0000,1
253.0000,54.0000,0
167.0000,194.0000,1
489.0000,158.0000,0
70.0000,303.0000,1
164.0000,444.0000,1
398.0000,406.0000,0
138.0000,15.0000,1
199.0000,52.0000,1
304.0000,95.0000,0
436.0000,383.0000,1
300.0000,158.0000,0
17.0000,151.0000,0
82.0000,49.0000,0
428.0000,13.0000,0
354.0000,473.0000,0
136.0000,183.0000,1
239.0000,399.0000,0
193.0000,347.0000,1
246.0000,370.0000,0
64.0000,340.0000,0
16.0000,56.0000,1
365.0000,103.0000,1
262.0000,245.0000,1
395.0000,59.0000,1
467.0000,80.0000,0
427.0000,110.0000,1
273.0000,283.0000,1
145.0000,147.0000,1
421.0000,132.0000,1
294.0000,195.0000,1
76.0000,29.0000,0
432.0000,453.0000,0
242.0000,99.0000,1
416.0000,156.0000,1
100.0000,40.0000,1
317.0000,447.0000,0
277.0000,337.0000,1
370.0000,89.0000,1
137.0000,113.0000,1
98.0000,32.0000,0
286.0000,450.0000,1
327.0000,135.0000,1
29.0000,437.0000,0
424.0000,64.0000,1
21.0000,429.0000,0
277.0000,430.0000,1
387.0000,148.0000,0
455.0000,355.0000,1
330.0000,163.0000,0
16.0000,409.0000,0
42.0000,482.0000,0
154.0000,239.0000,1
229.0000,416.0000,0
342.0000,40.0000,1
486.0000,263.0000,0
422.0000,233.0000,1
229.0000,126.0000,1
1.0000,242.0000,0
128.0000,247.0000,1
471.0000,355.0000,0
342.0000,340.0000,1
179.0000,327.0000,1
164.0000,351.0000,1
160.0000,368.0000,1
183.0000,28.0000,0
169.0000,454.0000,1
294.0000,36.0000,1
334.0000,94.0000,0
125.0000,249.0000,1
321.0000,290.0000,1
356.0000,255.0000,1
251.0000,243.0000,1
332.0000,263.0000,1
290.0000,293.0000,1
222.0000,260.0000,1
5.0000,424.0000,0
248.0000,305.0000,1
174.0000,478.0000,0
206.0000,406.0000,0
182.0000,308.0000,1
133.0000,319.0000,1
407.0000,448.0000,0
398.0000,422.0000,0
221.0000,98.0000,1
329.0000,414.0000,1
129.0000,222.0000,1
264.0000,222.0000,1
384.0000,206.0000,1
302.0000,358.0000,1
92.0000,142.0000,1
289.0000,439.0000,1
470.0000,407.0000,0
226.0000,163.0000,1
283.0000,372.0000,1
460.0000,390.0000,1
494.0000,488.0000,0
154.0000,311.0000,1
155.0000,146.0000,1
331.0000,290.0000,1
375.0000,486.0000,0
336.0000,28.0000,0
433.0000,402.0000,1
289.0000,349.0000,1
281.0000,188.0000,1
416.0000,114.0000,1
220.0000,476.0000,0
95.0000,310.0000,1
174.0000,297.0000,1
