x1,x2,y
535.0000,619.0000,1
1.0000,219.0000,0
802.0000,624.0000,0
359.0000,231.0000,0
590.0000,624.0000,1
152.0000,631.0000,0
180.0000,700.0000,0
609.0000,526.0000,1
893.0000,446.0000,0
510.0000,979.0000,0
411.0000,440.0000,1
672.0000,414.0000,1
636.0000,569.0000,1
554.0000,412.0000,1
491.0000,362.0000,1
431.0000,618.0000,1
261.0000,162.0000,0
455.0000,584.0000,1
440.0000,639.0000,1
851.0000,713.0000,0
395.0000,124.0000,0
608.0000,295.0000,1
625.0000,428.0000,1
746.0000,531.0000,1
778.0000,615.0000,0
377.0000,466.0000,1
404.0000,392.0000,1
490.0000,102.0000,0
11.0000,972.0000,0
581.0000,948.0000,0
924.0000,846.0000,0
386.0000,380.0000,1
312.0000,427.0000,1
655.0000,662.0000,1
606.0000,398.0000,1
266.0000,296.0000,0
597.0000,463.0000,1
792.0000,705.0000,0
528.0000,505.0000,1
620.0000,296.0000,1
287.0000,277.0000,0
536.0000,196.0000,0
626.0000,827.0000,0
69.0000,803.0000,0
388.0000,387.0000,1
663.0000,337.0000,1
261.0000,438.0000,1
651.0000,993.0000,0
561.0000,339.0000,1
941.0000,878.0000,0
360.0000,464.0000,1
637.0000,699.0000,0
279.0000,386.0000,1
641.0000,100.0000,0
634.0000,359.0000,1
824.0000,691.0000,0
733.0000,588.0000,1
560.0000,653.0000,1
460.0000,621.0000,1
97.0000,865.0000,0
286.0000,197.0000,0
563.0000,80.0000,0
534.0000,576.0000,1
893.0000,727.0000,0
868.0000,547.0000,0
514.0000,268.0000,1
372.0000,262.0000,0
561.0000,221.0000,0
291.0000,517.0000,1
747.0000,469.0000,1
983.0000,417.0000,0
808.0000,985.0000,0
65.0000,54.0000,0
147.0000,347.0000,0
244.0000,577.0000,0
390.0000,388.0000,1
750.0000,368.0000,0
625.0000,302.0000,1
755.0000,326.0000,0
756.0000,984.0000,0
436.0000,412.0000,1
641.0000,628.0000,1
396.0000,632.0000,1
223.0000,41.0000,0
403.0000,280.0000,1
345.0000,455.0000,1
836.0000,854.0000,0
677.0000,416.0000,1
568.0000,490.0000,1
736.0000,409.0000,1
488.0000,552.0000,1
986.0000,360.0000,0
380.0000,420.0000,1
717.0000,599.0000,1
810.0000,122.0000,0
756.0000,451.0000,1
355.0000,639.0000,1
168.0000,855.0000,0
596.0000,548.0000,1
468.0000,401.0000,1
955.0000,203.0000,0
979.0000,732.0000,0
432.0000,26.0000,0
781.0000,256.0000,0
141.0000,566.0000,0
822.0000,183.0000,0
632.0000,277.0000,1
437.0000,550.0000,1
577.0000,518.0000,1
715.0000,923.0000,0
972.0000,768.0000,0
278.0000,385.0000,1
559.0000,643.0000,1
586.0000,401.0000,1
338.0000,432.0000,1
763.0000,622.0000,0
594.0000,608.0000,1
767.0000,193.0000,0
54.0000,162.0000,0
787.0000,832.0000,0
815.0000,910.0000,0
35.0000,90.0000,0
648.0000,108.0000,0
793.0000,573.0000,0
965.0000,804.0000,0
940.0000,588.0000,0
350.0000,421.0000,1
409.0000,260.0000,1
522.0000,176.0000,0
524.0000,590.0000,1
936.0000,223.0000,0
505.0000,221.0000,0
39.0000,710.0000,0
532.0000,502.0000,1
553.0000,151.0000,0
616.0000,274.0000,1
292.0000,760.0000,0
798.0000,519.0000,0
636.0000,995.0000,0
324.0000,421.0000,1
268.0000,444.0000,1
795.0000,726.0000,0
532.0000,718.0000,1
323.0000,227.0000,0
594.0000,861.0000,0
735.0000,147.0000,0
146.0000,42.0000,0
