x1,x2,y
822.0000,15.0000,0
422.0000,854.0000,0
82.0000,106.0000,0
473.0000,44.0000,0
501.0000,476.0000,1
463.0000,16.0000,0
399.0000,490.0000,1
605.0000,430.0000,1
634.0000,358.0000,1
712.0000,455.0000,1
552.0000,814.0000,0
993.0000,177.0000,0
367.0000,621.0000,1
625.0000,391.0000,1
931.0000,855.0000,0
699.0000,423.0000,1
502.0000,670.0000,1
849.0000,891.0000,0
13.0000,30.0000,0
688.0000,556.0000,1
99.0000,544.0000,0
748.0000,340.0000,0
570.0000,591.0000,1
318.0000,546.0000,1
974.0000,491.0000,0
328.0000,500.0000,1
681.0000,108.0000,0
656.0000,375.0000,1
565.0000,389.0000,1
408.0000,666.0000,1
579.0000,688.0000,1
655.0000,423.0000,1
282.0000,588.0000,1
734.0000,691.0000,0
306.0000,561.0000,1
436.0000,456.0000,1
52.0000,19.0000,0
376.0000,967.0000,0
527.0000,831.0000,0
906.0000,943.0000,0
572.0000,521.0000,1
568.0000,504.0000,1
521.0000,516.0000,1
496.0000,629.0000,1
436.0000,501.0000,1
547.0000,266.0000,1
642.0000,499.0000,1
83.0000,189.0000,0
445.0000,570.0000,1
485.0000,554.0000,1
573.0000,93.0000,0
542.0000,368.0000,1
872.0000,487.0000,0
645.0000,870.0000,0
530.0000,384.0000,1
394.0000,297.0000,1
254.0000,471.0000,1
382.0000,511.0000,1
400.0000,470.0000,1
729.0000,544.0000,1
659.0000,387.0000,1
998.0000,798.0000,0
429.0000,481.0000,1
772.0000,788.0000,0
621.0000,494.0000,1
641.0000,567.0000,1
526.0000,201.0000,0
363.0000,666.0000,1
16.0000,412.0000,0
905.0000,900.0000,0
856.0000,262.0000,0
530.0000,330.0000,1
492.0000,565.0000,1
263.0000,535.0000,1
437.0000,492.0000,1
327.0000,278.0000,0
307.0000,849.0000,0
780.0000,820.0000,0
624.0000,298.0000,1
632.0000,902.0000,0
700.0000,668.0000,0
383.0000,372.0000,1
734.0000,719.0000,0
690.0000,595.0000,1
688.0000,354.0000,1
894.0000,778.0000,0
759.0000,3.0000,0
678.0000,753.0000,0
820.0000,464.0000,0
341.0000,132.0000,0
719.0000,604.0000,1
772.0000,904.0000,0
565.0000,426.0000,1
478.0000,108.0000,0
587.0000,411.0000,1
643.0000,562.0000,1
152.0000,906.0000,0
587.0000,420.0000,1
91.0000,861.0000,0
606.0000,414.0000,1
910.0000,130.0000,0
9.0000,494.0000,0
697.0000,461.0000,1
895.0000,997.0000,0
674.0000,537.0000,1
452.0000,426.0000,1
687.0000,634.0000,1
178.0000,135.0000,0
797.0000,889.0000,0
249.0000,178.0000,0
340.0000,359.0000,1
603.0000,488.0000,1
